iter	Passed	Remaining
0	148	148727
1	150	74911
2	151	50232
3	152	37858
4	152	30409
5	153	25435
6	154	21881
7	155	19229
8	156	17241
9	157	15582
10	158	14217
11	158	13078
12	159	12113
13	160	11289
14	161	10575
15	161	9954
16	162	9403
17	163	8913
18	164	8472
19	164	8076
20	165	7716
21	166	7390
22	166	7092
23	167	6821
24	168	6572
25	169	6341
26	169	6120
27	170	5921
28	171	5736
29	172	5562
30	172	5400
31	173	5248
32	174	5108
33	175	4976
34	176	4854
35	176	4736
36	177	4626
37	178	4519
38	179	4417
39	180	4324
40	181	4235
41	182	4152
42	182	4071
43	183	3992
44	184	3915
45	185	3842
46	186	3772
47	186	3707
48	187	3648
49	188	3587
50	189	3528
51	190	3470
52	191	3414
53	191	3363
54	192	3313
55	193	3264
56	194	3218
57	195	3172
58	196	3127
59	196	3084
60	197	3043
61	198	3003
62	199	2969
63	200	2932
64	201	2895
65	202	2858
66	202	2824
67	203	2790
68	204	2758
69	205	2727
70	206	2700
71	207	2670
72	208	2644
73	209	2616
74	209	2588
75	210	2560
76	211	2535
77	212	2515
78	213	2489
79	214	2464
80	215	2439
81	215	2415
82	216	2391
83	217	2370
84	218	2349
85	219	2329
86	219	2307
87	220	2286
88	221	2266
89	222	2246
90	222	2226
91	223	2208
92	224	2189
93	225	2172
94	226	2154
95	227	2137
96	227	2120
97	228	2104
98	229	2087
99	230	2071
100	231	2056
101	231	2041
102	232	2026
103	233	2011
104	234	1996
105	235	1982
106	235	1968
107	236	1955
108	237	1943
109	238	1930
110	239	1917
111	240	1904
112	240	1891
113	241	1878
114	242	1865
115	243	1854
116	244	1842
117	244	1831
118	245	1819
119	246	1809
120	247	1798
121	248	1787
122	249	1778
123	250	1768
124	251	1758
125	252	1748
126	252	1738
127	253	1728
128	254	1718
129	255	1709
130	256	1699
131	257	1690
132	257	1681
133	258	1672
134	259	1664
135	260	1656
136	261	1647
137	262	1640
138	263	1632
139	264	1624
140	265	1617
141	266	1609
142	267	1600
143	267	1593
144	268	1585
145	269	1577
146	270	1570
147	271	1562
148	272	1554
149	273	1547
150	273	1539
151	274	1532
152	275	1525
153	276	1519
154	276	1509
155	277	1502
156	278	1495
157	279	1488
158	280	1481
159	281	1476
160	282	1470
161	283	1465
162	284	1459
163	285	1452
164	285	1446
165	287	1444
166	288	1438
167	288	1429
168	289	1424
169	290	1418
170	291	1412
171	292	1406
172	292	1400
173	293	1394
174	294	1389
175	295	1383
176	296	1378
177	297	1372
